a52dec 0.7.4-11
aalib 1.4rc5-14
abcl 1.7.0-1
accountsservice 0.6.55-2
acl 2.2.53-3
acpi 1.7-3
acpi_call 1.1.0-330
acpi_call-lts 1.1.0-157
adapta-gtk-theme 3.95.0.11-1
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
aircrack-ng 1.6-2
alacritty 0.4.3-1
alsa-lib 1.2.3.2-1
alsa-oss 1.1.8-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
alsa-utils 1.2.3-2
android-tools 30.0.0-2
android-udev 20200613-1
aom 2.0.0-1
apfs-fuse-git r80.309ecb0-1
appstream 0.12.11-1
appstream-qt 0.12.11-1
apr 1.7.0-3
apr-util 1.6.1-7
aqemu 0.9.4-2
arandr 0.1.10-4
arc-gtk-theme 20200513-1
arc-icon-theme 20161122-3
arch-install-scripts 23-2
archlinux-appstream-data 20200612-1
archlinux-keyring 20200622-1
arduino 1:1.8.13-1
arduino-avr-core 1.8.2-2
arduino-builder 1.5.4-1
arduino-cli 0.11.0-2
arduino-ctags 5.8_arduino11-4
arduino-docs 1.6.6-7
argon2 20190702-3
aribb24 1.0.3-3
arpack 3.7.0-2
asciinema 2.0.2-3
asp 5-2
aspell 0.60.8-2
aspell-en 2019.10.06-1
assimp 5.0.1-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
ats2-postiats 0.4.0-1
attica 5.71.0-1
attr 2.4.48-3
audacity 1:2.4.1-4
audiofile 0.3.6-6
audit 2.8.5-6
autoconf 2.69-7
autogen 5.18.16-1
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
avr-binutils 2.34-2
avr-gcc 10.1.0-1
avr-gdb 9.2-1
avr-libc 2.0.0-4
avrdude 1:6.3-7
babl 0.1.78-1
baobab 3.34.1-1
bash 5.0.017-1
bash-completion 2.10-2
bat 0.15.4-1
bc 1.07.1-4
bcg729 1.0.4-5
bcm20702a1-firmware 1201710-8
bdf-unifont 13.0.03-1
bear-git r505.4d3b72d-1
bettergram 1.3.12-3
biber 1:2.14-2
bigloo 4.3h-1
bind-tools 9.16.4-1
binutils 2.34-5
bison 3.6.4-1
bleachbit 4.0.0-3
bluez-libs 5.54-2
boost 1.72.0-2
boost-libs 1.72.0-2
borg 1.1.13-1
botan 2.14.0-1
bridge-utils 1.7-1
brltty 6.0-10
brotli 1.0.7-3
btrfs-progs 5.7-1
bubblewrap 0.4.1-1
busybox 1.31.1-2
byobu 5.133-2
byzanz 0.3.0.1-5
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.54-1
ca-certificates-utils 20181109-3
cairo 1.17.2+25+gaee96d175-1
cairo-perl 1.107-2
cairomm 1.12.2-4
calibre 4.20.0-1
calibre-common 4.20.0-1
cantarell-fonts 1:0.201-1
cantata 2.4.1-1
capnproto 0.8.0-1
capstone 4.0.2-1
catfish 1.4.13-2
cblas 3.9.0-3
ccache 3.7.9-1
ccl-git 1:1.12.13.g3c975684-1
ccls 0.20190823.6-1
cdparanoia 10.2-8
celt 0.11.3-4
ceph-libs 14.2.8-1
certbot 1.6.0-1
certbot-nginx 1.6.0-1
cfr 0.149-1
checkbashisms 2.20.3-1
chicken 5.2.0-1
chmlib 0.40-6
chromaprint 1.5.0-1
chromium 83.0.4103.116-3
chromium-widevine 1:4.10.1679.0-1
cifs-utils 6.10-1
clang 10.0.0-3
clazy 1.7-1
clisp 2.49.93-4
cloc 1.86-1
clojure 1.10.1-7
clucene 2.3.3.4-11
cmake 3.17.3-1
cmark-gfm 0.29.0.gfm.0-1
cmatrix 2.0-2
cmucl 21d-1
code 1.47.0-1
code-server 3.4.1-1
colord 1.4.4+9+g1ce26da-2
colordiff 1.0.18-3
compiledb 0.10.1-2
compiler-rt 10.0.0-1
complexity 1.10-1
confuse 3.3-1
containerd 1.3.4-2
coreutils 8.32-1
corrupter-git r34.f6a1890-1
cowsay 3.04-2
coz-git r441.c9af2bc-1
cquery v20180718-8
cracklib 2.9.7-2
crda 4.14-3
cryptsetup 2.3.3-1
crystal 0.35.1-1
cscope 15.9-2
cuberite 1.12b1279-2
cups 2.3.3-1
cups-filters 1.27.5-1
cups-pdf 3.0.1-5
cups-pk-helper 0.2.6-4
curl 7.71.1-1
curlftpfs 0.9.2-8
customizepkg-git 59.852c335-1
dav1d 0.7.1-1
db 5.3.28-5
dbeaver 7.1.1-1
dbeaver-plugin-apache-poi 3.16.0-4
dbeaver-plugin-batik 1.9.1-5
dbeaver-plugin-bouncycastle 1.64.0.v20191109.0815-1
dbeaver-plugin-office 1.1.67.202003211804-1
dbeaver-plugin-sshj 1.0.50.202003211804-1
dbeaver-plugin-sshj-lib 0.27.3-1
dbeaver-plugin-svg-format 1.0.65.202003211804-1
dbus 1.12.20-1
dbus-glib 0.110-2
dcd 1:0.12.0-3
dconf 0.36.0-1
ddate 0.2.2-3
ddd 3.3.12-12
ddrescue 1.25-1
deepin-desktop-base 2:2020.04.12.2-2
deepin-qt-dbus-factory 5.2.0.3-1
deepin-qt5integration 5.1.0.3-1
deepin-qt5platform-plugins 5.0.13-1
deepin-screen-recorder 5.8.0.11-3
deepin-turbo 0.0.3-2
desktop-file-utils 0.26-1
detox 1.3.0-3
device-mapper 2.02.187-3
dfc 3.1.1-3
dfmt 0.12.0-1
dhcpcd 9.1.2-2
dhex 0.69-2
dialog 1:1.3_20200327-1
diffutils 3.7-3
direnv 2.21.3-1
discord 0.0.10-3
discount 2.2.6-2
discover 5.19.3-1
dive 0.9.2-1
djvulibre 3.5.27-6
dmd 1:2.092.1-1
dmd-docs 1:2.092.1-1
dmenu 4.9-2
dmidecode 3.2-2
dmraid 1.0.0.rc16.3-12
dnscrypt-proxy 2.0.44-1
dnsmasq 2.81-4
dnssec-anchors 20190629-2
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:19.03.12-1
docker-compose 1.26.2-1
dos2unix 7.4.1-2
dosbox 0.74.3-2
dosfstools 4.1-3
dotnet-host 3.1.3.sdk103.2-1
dotnet-runtime 3.1.3.sdk103.2-1
dotnet-sdk 3.1.3.sdk103.2-1
double-conversion 3.1.5-2
dovecot 2.3.10.1-1
doxygen 1.8.18-2
dqlite 1.5.0-1
dragon-drag-and-drop-git 1.1.1.r0.g7ffcd70-1
dscanner 0.9.0-1
dsniff 2.4b1-28
dstat 0.7.4-5
dtkcore 1:5.2.2.1-1
dtkgui 5.2.2.1-1
dtkwidget 5.2.2.2-1
dtools 2.092.1-1
dub 1.21.0-1
duplicacy 2.6.1-1
dvdbackup 0.4.2-6
e2fsprogs 1.45.6-2
ebtables 2.0.10_4-8
ecl 20.4.24-2
ed 1.16-1
editorconfig-core-c 0.12.3-2
edk2-ovmf 202005-2
efibootmgr 17-1
efivar 37-4
electron7 7.1.14-6
elfutils 0.180-1
elixir 1.10.3-1
emacs 26.3-2
enchant 2.2.8-3
engrampa 1.24.0-1
entr 4.6-1
eric 20.6-1
erlang 23.0-1
erlang-docs 23.0-1
erlang-unixodbc 23.0-1
esptool 2.8-2
ethtool 1:5.7-1
evince 3.36.7-1
exfat-utils 1.3.0-2
exiv2 0.27.2-2
exo 0.12.11-5
expac 10-2
expat 2.2.9-3
expect 5.45.4-2
faac 1.30-2
faad2 2.9.2-1
fakepkg 1.41.1-1
fakeroot 1.24-2
fasd 1.0.1-3
fbcat 0.5.1-3
fbreader 0.99.4-9
fd 8.1.1-1
feh 3.4.1-1
ffcall 2.2-2
ffmpeg 2:4.2.3-2
ffmpegthumbnailer 2.2.2-2
